Season,League,Club,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place
2010,a003,Almería,1,Diego Alves,BRA,G,1.88,83,24-06-85,Rio de Janeiro
2010,a003,Almería,2,Hernán Pellerano,ARG,D,1.83,72,04-06-84,Capital Federal
2010,a003,Almería,3,Guilherme,BRA,D,1.73,70,05-02-88,Jequié
2010,a003,Almería,4,Chico,ESP,D,1.87,75,06-03-87,Cádiz
2010,a003,Almería,5,Kalu Uche,NGA,F,1.79,71,15-11-82,Aba
2010,a003,Almería,6,Domingo Cisma,ESP,D,1.84,76,09-02-82,Seville
2010,a003,Almería,7,Miguel Ángel Nieto,ESP,M,1.83,77,12-01-86,Madrid
2010,a003,Almería,8,Albert Crusat,ESP,M,1.64,65,13-05-82,Barcelona
2010,a003,Almería,9,Esteban Solari,ARG,F,1.88,84,02-06-80,Rosario
2010,a003,Almería,10,José Ortíz,ESP,F,1.72,68,04-08-77,Almería
2010,a003,Almería,11,Pablo Piatti,ARG,F,1.63,63,31-03-89,La Carlota
2010,a003,Almería,13,Esteban,ESP,G,1.77,70,27-06-75,Avilés
2010,a003,Almería,14,Álex Quillo,ESP,M,1.8,70,07-10-86,La Línea de la Concepción
2010,a003,Almería,15,Miguel Angel Corona,ESP,M,1.75,79,12-02-81,Talavera
2010,a003,Almería,16,Michel,BRA,D,1.76,72,15-02-90,Rio de Janeiro
2010,a003,Almería,17,Juan Manuel Ortiz,ESP,M,1.79,70,01-03-82,Alicante
2010,a003,Almería,18,Santiago Acasiete,PER,D,1.82,78,22-11-77,Callao
2010,a003,Almería,19,Modeste M'Bami,CMR,M,1.72,67,09-10-82,Yaoundé
2010,a003,Almería,20,Henok Goitom,SWE,F,1.89,74,16-09-84,Solna
2010,a003,Almería,21,David Rodríguez,ESP,F,1.78,72,14-02-86,Talavera de la Reina
2010,a003,Almería,22,Fabián Vargas,COL,M,1.78,71,17-04-80,Bogotá
2010,a003,Almería,23,Fernando Soriano,ESP,M,1.89,81,24-09-79,Zaragoza
2010,a003,Almería,24,Leonardo Borzani,ARG,M,1.79,77,07-05-82,General Lagos
