Season,League,Club,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place
2014,a003,Almería,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place
2014,a003,Almería,1,Esteban,ESP,G,1.77,70,27-06-75,Avilés
2014,a003,Almería,2,Marco Torsiglieri,ARG,D,1.9,77,12-01-88,Castelar
2014,a003,Almería,3,Marcelo Silva,URU,D,1.85,85,21-03-89,Soriano
2014,a003,Almería,4,Hans Martínez,CHI,D,1.78,73,04-01-87,Santiago
2014,a003,Almería,5,Ángel Trujillo,ESP,D,1.79,79,08-09-87,Madrid
2014,a003,Almería,6,Marcos Tébar,ESP,M,1.85,77,07-02-86,Madrid
2014,a003,Almería,7,Verza,ESP,M,1.82,75,29-09-86,Orihuela
2014,a003,Almería,8,Aleix Vidal,ESP,F,1.76,70,21-08-89,Valls
2014,a003,Almería,9,Óscar Díaz,ESP,F,1.85,76,24-04-84,Madrid
2014,a003,Almería,10,Rodri,ESP,F,1.74,64,06-06-90,Soria
2014,a003,Almería,11,Hélder Barbosa,POR,M,1.72,67,25-05-87,Paredes
2014,a003,Almería,12,,,,,,,
2014,a003,Almería,13,,,,,,,
2014,a003,Almería,14,,,,,,,
2014,a003,Almería,15,Miguel Angel Corona,ESP,M,1.75,79,12-02-81,Talavera
2014,a003,Almería,16,Sebastián Dubarbier,ARG,F,1.79,74,19-02-86,La Plata
2014,a003,Almería,17,Suso,ESP,F,1.76,69,19-11-93,Cádiz
2014,a003,Almería,18,,,,,,,
2014,a003,Almería,19,Jonathan Zongo,BFA,F,1.83,72,02-12-92,Ouagadougou
2014,a003,Almería,20,Rafita,ESP,M,1.7,70,18-09-82,Llucmajor
2014,a003,Almería,21,Mané,ESP,D,1.75,72,22-12-81,Algeciras
2014,a003,Almería,22,Nélson,POR,D,1.72,65,10-06-83,Praia
2014,a003,Almería,23,Fernando Soriano,ESP,M,1.89,81,24-09-79,Zaragoza
2014,a003,Almería,24,,,,,,,
2014,a003,Almería,25,Julián,ESP,G,1.95,91,28-03-91,Granada
2014,a003,Almería,26,,,,,,,
2014,a003,Almería,27,Hicham Khaloua,MAR,F,1.77,72,07-05-95,San Javier
2014,a003,Almería,28,,,,,,,
2014,a003,Almería,29,Kim Young-Gyu,KOR,M,1.68,64,05-01-95,Yeongju
2014,a003,Almería,30,,,,,,,
2014,a003,Almería,31,Ramon Azeez,NGA,M,1.7,70,12-12-92,Abuja
2014,a003,Almería,32,Dani Romera,ESP,F,1.75,66,23-08-95,Almería
2014,a003,Almería,33,Nono,ESP,F,1.7,62,28-05-91,Badajoz
2014,a003,Almería,34,Cristóbal,ESP,M,1.7,62,05-02-92,Málaga
2014,a003,Almería,35,Víctor Ibáñez,ESP,G,1.91,85,21-04-89,Barcelona
2014,a003,Almería,36,,,,,,,
2014,a003,Almería,37,,,,,,,
2014,a003,Almería,38,,,,,,,
2014,a003,Almería,39,,,,,,,
2014,a003,Almería,40,,,,,,,
2014,a003,Almería,41,Antonio Marín,ESP,D,1.78,75,17-06-96,Benalua
2014,a003,Almería,44,Fran Vélez,ESP,D,1.79,75,23-06-91,Tarragona
2014,a003,Almería,Players no longer at this club,,,,,,,
2014,a003,Almería,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place
2014,a003,Almería,21,Rubén,ESP,M,1.67,67,19-02-79,Gijón
2014,a003,Almería,11,Abel,ESP,F,1.79,65,28-04-89,Madrid
2014,a003,Almería,4,Hernán Pellerano,ARG,D,1.83,72,04-06-84,Capital Federal
2014,a003,Almería,18,Christian,ESP,D,1.82,77,15-10-85,Santander
2014,a003,Almería,25,Óscar Ustari,ARG,G,1.84,82,03-07-86,América
2014,a003,Almería,14,Raúl,ESP,D,1.75,72,30-11-89,La Coruña
2014,a003,Almería,,,,,,,,
2014,a003,Athletic Bilbao,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place
2014,a003,Athletic Bilbao,1,Gorka Iraizoz,ESP,G,1.91,81,06-03-81,Pamplona
2014,a003,Athletic Bilbao,2,Gaizka Toquero,ESP,M,1.82,72,09-08-84,Vitoria
2014,a003,Athletic Bilbao,3,Íñigo Pérez,ESP,M,1.78,74,18-01-88,Iruñea
2014,a003,Athletic Bilbao,4,Aymeric Laporte,FRA,D,1.89,85,27-05-94,Agen
2014,a003,Athletic Bilbao,5,Erik Morán,ESP,M,1.87,75,25-05-91,Portugalete
2014,a003,Athletic Bilbao,6,Mikel San José,ESP,D,1.83,78,30-05-89,Pamplona
2014,a003,Athletic Bilbao,7,Beñat,ESP,M,1.75,72,19-02-87,Igorre
2014,a003,Athletic Bilbao,8,Ander Iturraspe,ESP,M,1.87,73,08-03-89,Abadiño
2014,a003,Athletic Bilbao,9,Kike Sola,ESP,F,1.84,84,25-02-86,Tudela
2014,a003,Athletic Bilbao,10,Óscar de Marcos,ESP,M,1.8,73,14-04-89,Vitoria
2014,a003,Athletic Bilbao,11,Ibai Gómez,ESP,F,1.79,73,11-11-89,Bilbao
2014,a003,Athletic Bilbao,12,Unai Albizua,ESP,D,1.81,79,18-01-89,Barakaldo
