2011,a002,Arsenal,1,Manuel Almunia,ESP,G,1.91,86,16-05-77,Pamplona,Celta Vigo,
2011,a002,Arsenal,2,Abou Diaby,FRA,M,1.88,75,11-05-86,Paris,Auxerre,
2011,a002,Arsenal,3,Bacary Sagna,FRA,D,1.76,72,14-02-83,Sens,Auxerre,
2011,a002,Arsenal,4,Cesc Fŕbregas,ESP,M,1.77,69,04-05-87,Arenys de Mar,Barcelona,
2011,a002,Arsenal,5,Thomas Vermaelen,BEL,D,1.82,75,14-11-85,Kapellen,Ajax,
2011,a002,Arsenal,6,Laurent Koscielny,FRA,D,1.86,75,10-09-85,Tulle,Lorient,
2011,a002,Arsenal,7,Tomáš Rosický,CZE,M,1.78,67,04-10-80,Prague,Borussia Dortmund,
2011,a002,Arsenal,8,Samir Nasri,FRA,M,1.77,75,26-06-87,Marseille,Marseille,
2011,a002,Arsenal,10,Robin van Persie,NED,F,1.83,71,06-08-83,Rotterdam,Feyenoord,
2011,a002,Arsenal,13,Jens Lehmann,GER,G,1.9,87,10-11-69,Essen,Stuttgart,
2011,a002,Arsenal,14,Theo Walcott,ENG,F,1.75,68,16-03-89,Stanmore,Southampton,
2011,a002,Arsenal,15,Denílson,BRA,M,1.78,68,16-02-88,Săo Paulo,Săo Paulo,
2011,a002,Arsenal,16,Aaron Ramsey,WAL,M,1.78,76,26-12-90,Caerphilly,Cardiff C,
2011,a002,Arsenal,17,Alexandre Song,CMR,M,1.84,76,09-09-87,Douala,Bastia,
2011,a002,Arsenal,18,Sébastien Squillaci,FRA,D,1.84,76,11-08-80,Toulon,Sevilla,
2011,a002,Arsenal,19,Jack Wilshere,ENG,M,1.7,65,01-01-92,Stevenage,None,
2011,a002,Arsenal,20,Johan Djourou,SUI,D,1.91,83,18-01-87,Abidjan,Etoile-Carouge,
2011,a002,Arsenal,21,Łukasz Fabiański,POL,G,1.9,84,18-04-85,Kostrzyn nad Odrą,Legia Warszawa,
2011,a002,Arsenal,22,Gaël Clichy,FRA,D,1.81,72,26-07-85,Toulouse,Cannes,
2011,a002,Arsenal,23,Andrey Arshavin,RUS,M,1.72,71,29-05-81,St. Petersburg,Zenit St. Petersburg,
2011,a002,Arsenal,27,Emmanuel Eboué,CIV,D,1.78,72,04-06-83,Abidjan,Beveren,
2011,a002,Arsenal,28,Kieran Gibbs,ENG,D,1.8,70,26-09-89,Lambeth,None,
2011,a002,Arsenal,29,Marouane Chamakh,MAR,F,1.85,70,10-01-84,Tonnens,Bordeaux,
2011,a002,Arsenal,34,Chuks Aneke,ENG,M,1.91,83,03-07-93,Newham,None,
2011,a002,Arsenal,35,Emmanuel Frimpong,ENG,M,1.83,83,10-01-92,Accra,None,
2011,a002,Arsenal,37,Daniel Boateng,ENG,D,1.83,78,02-09-92,Enfield,None,
2011,a002,Arsenal,38,Thomas Cruise,ENG,D,1.85,80,09-03-91,Islington,None,
2011,a002,Arsenal,39,Roarie Deacon,ENG,F,1.7,67,12-10-91,London,None,
2011,a002,Arsenal,44,Conor Henderson,IRL,M,1.85,76,08-09-91,Sidcup,None,
2011,a002,Arsenal,48,Ignasi Miquel,ESP,D,1.93,85,28-09-92,Barcelona,Cornellŕ,
2011,a002,Arsenal,49,Rhys Murphy,IRL,F,1.86,76,06-11-90,Shoreham-by-Sea,None,
2011,a002,Arsenal,51,Oğuzhan Özyakup,NED,M,1.78,71,23-09-92,Zaandam,AZ Alkmaar,
2011,a002,Arsenal,52,Nicklas Bendtner,DEN,F,1.92,83,16-01-88,Copenhagen,FC Křbenhavn,
2011,a002,Arsenal,53,Wojciech Szczęsny,POL,G,1.95,84,18-04-90,Warsaw,Legia Warszawa,
2011,a002,Arsenal,55,James Shea,ENG,G,1.8,76,16-06-91,Islington,None,
2011,a002,Arsenal,58,Nico Yennaris,ENG,D,1.7,65,23-05-93,Leytonstone,None,
2011,a002,Arsenal,59,Emiliano Martínez,ARG,G,1.93,85,02-09-92,Mar del Plata,Independiente,
2011,a002,Arsenal,30,Armand Traoré,FRA,D,1.85,82,08-10-89,Paris,,Juventus (On Loan)
2011,a002,Arsenal,50,Hĺvard Nordtveit,NOR,D,1.86,72,21-06-90,Vats,,B Mönchengladbach
2011,a002,Arsenal,24,Vito Mannone,ITA,G,1.94,73,02-03-88,Desio,,Hull C (On Loan)
2011,a002,Arsenal,41,Jay Emmanuel-Thomas,ENG,M,1.75,72,27-12-90,Forest Gate,,Cardiff C (On Loan)
