Season,League,Club,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place
2013,a002,Arsenal,1,Wojciech Szczęsny,POL,G,1.95,84,18-04-90,Warsaw
2013,a002,Arsenal,2,Abou Diaby,FRA,M,1.88,75,11-05-86,Paris
2013,a002,Arsenal,3,Bacary Sagna,FRA,D,1.76,72,14-02-83,Sens
2013,a002,Arsenal,4,Per Mertesacker,GER,D,1.98,90,29-09-84,Hannover
2013,a002,Arsenal,5,Thomas Vermaelen,BEL,D,1.82,75,14-11-85,Kapellen
2013,a002,Arsenal,6,Laurent Koscielny,FRA,D,1.86,75,10-09-85,Tulle
2013,a002,Arsenal,7,Tomáš Rosický,CZE,M,1.78,67,04-10-80,Prague
2013,a002,Arsenal,8,Mikel Arteta,ESP,M,1.75,69,26-03-82,San Sebastián
2013,a002,Arsenal,9,Lukas Podolski,GER,F,1.82,83,04-06-85,Gliwice
2013,a002,Arsenal,10,Jack Wilshere,ENG,M,1.7,65,01-01-92,Stevenage
2013,a002,Arsenal,12,Olivier Giroud,FRA,F,1.92,88,30-09-86,Chambéry
2013,a002,Arsenal,14,Theo Walcott,ENG,F,1.75,68,16-03-89,Stanmore
2013,a002,Arsenal,15,Alex Oxlade-Chamberlain,ENG,M,1.8,70,15-08-93,Portsmouth
2013,a002,Arsenal,16,Aaron Ramsey,WAL,M,1.78,76,26-12-90,Caerphilly
2013,a002,Arsenal,17,Nacho Monreal,ESP,D,1.78,72,26-02-86,Pamplona
2013,a002,Arsenal,18,Sébastien Squillaci,FRA,D,1.84,76,11-08-80,Toulon
2013,a002,Arsenal,19,Santi Cazorla,ESP,M,1.68,66,13-12-84,Lugo de Llanera
2013,a002,Arsenal,21,Łukasz Fabiański,POL,G,1.9,84,18-04-85,Kostrzyn nad Odrą
2013,a002,Arsenal,22,Francis Coquelin,FRA,M,1.78,73,13-05-91,Laval
2013,a002,Arsenal,23,Andrey Arshavin,RUS,M,1.72,71,29-05-81,St. Petersburg
2013,a002,Arsenal,24,Vito Mannone,ITA,G,1.94,73,02-03-88,Desio
2013,a002,Arsenal,25,Carl Jenkinson,ENG,D,1.85,77,08-02-92,Buckhurst Hill
2013,a002,Arsenal,27,"Kouassi Gervais ""Gervinho"" Yao",CIV,F,1.79,68,27-05-87,Anyama
2013,a002,Arsenal,28,Kieran Gibbs,ENG,D,1.8,70,26-09-89,Lambeth
2013,a002,Arsenal,36,Emiliano Martínez,ARG,G,1.93,85,02-09-92,Mar del Plata
2013,a002,Arsenal,38,Martin Angha,SUI,D,1.88,81,22-01-94,Zürich
2013,a002,Arsenal,39,Zak Ansah,ENG,F,1.79,70,04-05-94,Sidcup
2013,a002,Arsenal,40,Héctor Bellerín,ESP,D,1.77,74,19-03-95,Barcelona
2013,a002,Arsenal,41,Samir Bihmoutine,ENG,D,1.85,76,08-12-93,Newham
2013,a002,Arsenal,42,Daniel Boateng,ENG,D,1.83,78,02-09-92,Enfield
2013,a002,Arsenal,43,Reice Charles-Cook,ENG,G,1.85,80,08-04-94,Lewisham
2013,a002,Arsenal,44,Craig Eastmond,ENG,D,1.83,75,09-12-90,Wandsworth
2013,a002,Arsenal,45,Kyle Ebecilio,NED,M,1.8,77,17-02-94,Rotterdam
2013,a002,Arsenal,46,Thomas Eisfeld,GER,M,1.77,65,18-01-93,Finsterwalde
2013,a002,Arsenal,47,Serge Gnabry,GER,M,1.73,73,14-07-95,Stuttgart
2013,a002,Arsenal,48,Sead Hajrovic,SUI,D,1.83,80,04-06-93,Brugg
2013,a002,Arsenal,49,Isaac Hayden,ENG,D,1.87,79,22-03-95,Chelmsford
2013,a002,Arsenal,50,Conor Henderson,IRL,M,1.85,76,08-09-91,Sidcup
2013,a002,Arsenal,51,Benik Afobe,ENG,F,1.79,70,12-02-93,Leyton
2013,a002,Arsenal,53,Jernade Meade,ENG,M,1.73,74,25-10-92,Luton
2013,a002,Arsenal,54,Ignasi Miquel,ESP,D,1.93,85,28-09-92,Barcelona
2013,a002,Arsenal,55,Elton Monteiro,SUI,D,1.92,85,22-02-94,Sion
2013,a002,Arsenal,56,Nigel Neita,ENG,F,1.81,75,23-12-93,Southwark
2013,a002,Arsenal,57,Kristoffer Olsson,SWE,M,1.78,70,30-06-95,Vrinnevi
2013,a002,Arsenal,58,Josh Rees,ENG,M,1.75,70,04-10-93,Hemel Hempstead
2013,a002,Arsenal,60,James Shea,ENG,G,1.8,76,16-06-91,Islington
2013,a002,Arsenal,61,Jon Toral,ESP,M,1.84,80,05-02-95,Reus
2013,a002,Arsenal,62,Sanchez Watt,ENG,M,1.8,76,14-02-91,Hackney
2013,a002,Arsenal,63,Jordan Wynter,ENG,M,1.86,77,24-11-93,Goodmayes
2013,a002,Arsenal,64,Nico Yennaris,ENG,D,1.7,65,23-05-93,Leytonstone
2013,a002,Arsenal,65,Jack Jebb,ENG,M,1.82,74,11-09-95,Kensington
2013,a002,Arsenal,66,Austin Lipman,ENG,F,,,20-09-95,Leytonstone
2013,a002,Arsenal,67,Chuba Akpom,ENG,F,1.83,77,09-10-95,Newham
2013,a002,Arsenal,68,Dejan Iliev,MKD,G,1.95,87,25-02-95,Strumica
2013,a002,Arsenal,71,Brandon Ormonde-Ottewill,ENG,D,1.76,61,21-12-95,Sutton
2013,a002,Arsenal,17,Alexandre Song,CMR,M,1.84,76,09-09-87,Douala
2013,a002,Arsenal,59,Phil Roberts,ENG,F,1.78,71,07-04-94,Newham
2013,a002,Arsenal,30,Park Chu-Young,KOR,F,1.82,75,10-07-85,Daegu
2013,a002,Arsenal,52,Nicklas Bendtner,DEN,F,1.92,83,16-01-88,Copenhagen
2013,a002,Arsenal,29,Marouane Chamakh,MAR,F,1.85,70,10-01-84,Tonnens
2013,a002,Arsenal,20,Johan Djourou,SUI,D,1.91,83,18-01-87,Abidjan
2013,a002,Arsenal,26,Emmanuel Frimpong,GHA,M,1.83,83,10-01-92,Accra
2013,a002,Arsenal,34,Chuks Aneke,ENG,M,1.91,83,03-07-93,Newham
2013,a002,Arsenal,11,André Santos,BRA,D,1.79,76,08-03-83,São Paulo
2013,a002,Aston Villa,1,Shay Given,IRL,G,1.88,84,20-04-76,Lifford
2013,a002,Aston Villa,4,Ron Vlaar,NED,D,1.89,80,16-02-85,Hensbroek
2013,a002,Aston Villa,5,Richard Dunne,IRL,D,1.88,95,21-09-79,Dublin
2013,a002,Aston Villa,6,Ciaran Clark,IRL,D,1.88,76,26-09-89,Harrow
2013,a002,Aston Villa,7,Stephen Ireland,IRL,M,1.75,68,22-08-86,Cork
2013,a002,Aston Villa,8,Karim El Ahmadi,MAR,M,1.85,78,27-01-85,Enschede
2013,a002,Aston Villa,9,Darren Bent,ENG,F,1.8,73,06-02-84,Tooting
2013,a002,Aston Villa,10,Charles N'Zogbia,FRA,M,1.7,70,28-05-86,Harfleur
2013,a002,Aston Villa,11,Gabriel Agbonlahor,ENG,F,1.8,79,13-10-86,Birmingham
2013,a002,Aston Villa,12,Marc Albrighton,ENG,M,1.75,67,18-11-89,Tamworth
2013,a002,Aston Villa,14,Brett Holman,AUS,M,1.77,69,27-03-84,Bankstown
2013,a002,Aston Villa,15,Ashley Westwood,ENG,M,1.75,67,01-04-90,Nantwich
2013,a002,Aston Villa,16,Fabian Delph,ENG,M,1.74,60,21-11-89,Bradford
2013,a002,Aston Villa,18,Yacouba Sylla,FRA,M,1.84,80,29-11-90,Étampes
2013,a002,Aston Villa,20,Christian Benteke,BEL,F,1.9,83,03-12-90,Kinshasa
2013,a002,Aston Villa,21,Jordan Bowery,ENG,F,1.85,76,02-07-91,Nottingham
2013,a002,Aston Villa,22,Brad Guzan,USA,G,1.93,94,09-09-84,Home Glen
