Season,League,Club,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place
2012,a003,Athletic Bilbao,1,Gorka Iraizoz,ESP,G,1.91,81,06-03-81,Pamplona
2012,a003,Athletic Bilbao,2,Gaizka Toquero,ESP,M,1.82,72,09-08-84,Vitoria
2012,a003,Athletic Bilbao,3,Jon Aurtenetxe,ESP,D,1.82,78,03-01-92,Bizkaia
2012,a003,Athletic Bilbao,5,Fernando Amorebieta,VEN,D,1.92,85,21-03-85,Iurreta
2012,a003,Athletic Bilbao,6,Mikel San José,ESP,D,1.83,78,30-05-89,Pamplona
2012,a003,Athletic Bilbao,7,David López,ESP,M,1.81,77,10-09-82,Logroño
2012,a003,Athletic Bilbao,8,Ander Iturraspe,ESP,M,1.87,73,08-03-89,Abadiño
2012,a003,Athletic Bilbao,9,Fernando Llorente,ESP,F,1.95,94,26-02-85,Iruñea
2012,a003,Athletic Bilbao,10,Óscar de Marcos,ESP,M,1.8,73,14-04-89,Vitoria
2012,a003,Athletic Bilbao,11,Igor Gabilondo,ESP,M,1.85,78,10-02-79,Donostia
2012,a003,Athletic Bilbao,12,Koikili,ESP,D,1.68,67,23-12-80,Otxandio
2012,a003,Athletic Bilbao,13,Raúl,ESP,G,1.96,88,13-03-88,Bilbao
2012,a003,Athletic Bilbao,14,Markel Susaeta,ESP,M,1.79,68,14-12-87,Eibar
2012,a003,Athletic Bilbao,15,Andoni Iraola,ESP,D,1.82,74,22-06-82,Usúrbil
2012,a003,Athletic Bilbao,16,Ivan Zubiaurre,ESP,D,1.77,76,22-01-83,Mendaro
2012,a003,Athletic Bilbao,17,Íñigo Pérez,ESP,M,1.78,74,18-01-88,Iruñea
2012,a003,Athletic Bilbao,18,Carlos Gurpegi,ESP,M,1.81,77,19-08-80,Pamplona
2012,a003,Athletic Bilbao,19,Iker Muniain,ESP,F,1.68,62,19-12-92,Iruñea
2012,a003,Athletic Bilbao,20,Aitor Ocio,ESP,D,1.87,79,28-11-76,Vitoria
2012,a003,Athletic Bilbao,21,Ander Herrera,ESP,M,1.81,68,14-08-89,Bilbao
2012,a003,Athletic Bilbao,22,Xabier Castillo,ESP,D,1.82,71,29-03-86,Durango
2012,a003,Athletic Bilbao,23,Borja Ekiza,ESP,D,1.8,73,06-03-88,Iruñea
2012,a003,Athletic Bilbao,24,Javi Martínez,ESP,M,1.9,81,02-09-88,Lizarra
2012,a003,Athletic Bilbao,26,Igor Martínez,ESP,M,1.7,65,19-07-89,Vitoria
2012,a003,Athletic Bilbao,27,Guillermo,ESP,F,1.78,71,23-05-93,Bilbao
