Season,League,Club,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place
2012,a001,Augsburg,1,Simon Jentzsch,GER,G,1.96,96,04-05-76,Düsseldorf
2012,a001,Augsburg,2,Paul Verhaegh,NED,D,1.78,68,01-09-83,Kronenberg
2012,a001,Augsburg,3,Gibril Sankoh,SLE,D,1.86,80,15-05-83,Freetown
2012,a001,Augsburg,4,Dominik Reinhardt,GER,D,1.88,80,19-12-84,Nuremburg
2012,a001,Augsburg,5,Jan Morávek,CZE,M,1.79,71,01-11-89,Prague
2012,a001,Augsburg,6,Jonas De Roeck,BEL,D,1.87,80,20-12-79,Schoten
2012,a001,Augsburg,7,Hajime Hosogai,JPN,M,1.77,64,10-06-86,Gumma
2012,a001,Augsburg,8,Axel Bellinghausen,GER,M,1.81,76,17-05-83,Siegburg
2012,a001,Augsburg,9,Torsten Oehrl,GER,F,1.92,83,07-01-86,Lichtenfels
2012,a001,Augsburg,10,Daniel Baier,GER,M,1.75,73,18-05-84,Cologne
2012,a001,Augsburg,11,Nando Rafael,ANG,F,1.8,79,10-01-84,Luanda
2012,a001,Augsburg,13,Tobias Werner,GER,M,1.77,67,19-07-85,Gera
2012,a001,Augsburg,14,Koo Ja-Cheol,KOR,M,1.83,75,27-02-89,Chungju
2012,a001,Augsburg,15,Sebastian Langkamp,GER,D,1.9,85,15-01-88,Speyer
2012,a001,Augsburg,17,Marcel de Jong,CAN,F,1.74,73,15-10-86,New Market
2012,a001,Augsburg,18,Jan-Ingwer Callsen-Bracker,GER,D,1.87,81,23-09-84,Schleswig
2012,a001,Augsburg,19,Matthias Ostrzolek,GER,D,1.78,71,05-06-90,Bochum
2012,a001,Augsburg,20,Marcel Ndjeng,GER,M,1.8,72,06-05-82,Bonn
2012,a001,Augsburg,22,Edmond Kapllani,ALB,F,1.84,80,31-07-82,Durres
2012,a001,Augsburg,23,Andrew Sinkala,ZAM,M,1.75,68,18-06-79,Chingola
2012,a001,Augsburg,24,Daniel Brinkmann,GER,M,1.93,88,29-01-86,Horn-Bad Meinberg
2012,a001,Augsburg,25,Dawda Bah,GAM,M,1.87,74,18-11-83,Banjul
2012,a001,Augsburg,26,Lorenzo Davids,NED,M,1.74,74,04-09-86,Paramaribo
2012,a001,Augsburg,28,Akaki Gogia,GER,M,1.77,73,18-01-92,Rustavi
2012,a001,Augsburg,29,Moritz Nebel,GER,M,1.77,61,25-09-91,Erlangen
2012,a001,Augsburg,30,Mohamed Amsif,MAR,G,1.87,81,07-02-89,Düsseldorf
2012,a001,Augsburg,31,Marco Thiede,GER,M,1.75,70,20-05-92,Augsburg
2012,a001,Augsburg,33,Sascha Mölders,GER,F,1.85,79,20-03-85,Essen
2012,a001,Augsburg,36,Stephan Hain,GER,F,1.78,72,27-09-88,Zwiesel
2012,a001,Augsburg,37,Ioannis Gelios,GRE,G,1.9,76,24-04-92,Augsburg
2012,a001,Augsburg,21,Dominic Peitz,GER,M,1.96,90,11-09-84,Geseke
2012,a001,Augsburg,5,Uwe Möhrle,GER,D,1.88,81,03-12-79,Uberlingen
2012,a001,Augsburg,27,Michael Thurk,GER,F,1.77,66,28-05-76,Frankfurt am Main
2012,a001,Augsburg,19,Patrick Mayer,GER,F,1.79,74,28-03-88,Wangen
2012,a001,Bayer Leverkusen,1,René Adler,GER,G,1.9,85,15-01-85,Leipzig
2012,a001,Bayer Leverkusen,2,Daniel Schwaab,GER,D,1.86,75,23-08-88,Waldkirch
2012,a001,Bayer Leverkusen,3,Stefan Reinartz,GER,D,1.88,75,01-01-89,Engelskirchen
2012,a001,Bayer Leverkusen,4,Bastian Oczipka,GER,D,1.84,81,12-01-89,Bergisch Gladbach
2012,a001,Bayer Leverkusen,5,Manuel Friedrich,GER,D,1.89,82,13-09-79,Bad Kreuznach
2012,a001,Bayer Leverkusen,6,Simon Rolfes,GER,M,1.89,82,21-01-82,Ibbenbüren
2012,a001,Bayer Leverkusen,7,Tranquillo Barnetta,SUI,M,1.78,69,22-05-85,Rotmonten
